,ID,Type,License,Name,Address,City,State,Zip,Phone
0,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
1,10028-,2124271898,nan,nan,nan,nan,nan,nan,nan
2,11375-,7188802212,nan,nan,nan,nan,nan,nan,nan
3,27101-,3367163322,nan,nan,nan,nan,nan,nan,nan
4,44092-,5619123048,nan,nan,nan,nan,nan,PTLD,nan
5,45875-,4195237000,nan,nan,nan,nan,nan,nan,nan
6,44906-,4195281351,nan,nan,nan,nan,nan,nan,nan
7,73128-,4052106257,nan,nan,nan,nan,nan,nan,nan
8,73104-,4052715508,nan,nan,nan,nan,nan,nan,nan
9,73104-,4052715508,nan,nan,nan,nan,nan,nan,nan
10,73107-,4054254379,nan,nan,nan,nan,nan,nan,nan
11,73139-,4054254379,nan,nan,nan,nan,nan,nan,nan
12,97527-,5419515551,nan,nan,nan,nan,nan,nan,nan
13,19026-,6106427714,nan,nan,nan,nan,nan,nan,nan
14,19083-,6108531112,nan,nan,nan,nan,nan,nan,nan
15,15061-,4127703518,nan,nan,nan,nan,nan,nan,nan
16,16510-,8144527879,nan,nan,nan,nan,nan,nan,nan
17,19064-,6106427714,nan,nan,nan,nan,nan,nan,nan
18,15224-,4123593319,nan,nan,nan,nan,nan,nan,nan
19,15090-,4123593319,nan,nan,nan,nan,nan,nan,nan
20,29720-,5012251400,nan,nan,nan,nan,nan,nan,nan
21,37766-,8653053840,nan,nan,nan,nan,nan,nan,nan
22,37421-,4237785693,nan,nan,nan,nan,nan,nan,nan
23,38016-,9014443950,nan,nan,nan,nan,nan,nan,nan
24,77204-,5126860207,nan,nan,nan,nan,nan,nan,nan
25,78840-,8304983000,nan,4.2.19 LVM,nan,nan,nan,nan,nan
26,76063-,8172254809,Parnia Safavi,4.2.19 had an analyzer to sell,nan,nan,nan,nan,nan
27,78503-,5619123048,nan,nan,nan,nan,nan,nan,nan
28,78239-,2105993005,nan,nan,nan,nan,nan,nan,nan
29,76108-,8173475877,nan,nan,nan,nan,nan,nan,nan
30,75248-,4695779720,nan,nan,nan,nan,nan,nan,nan
31,78041-,9562065980,nan,nan,nan,nan,nan,nan,nan
32,75023-,4693924000,nan,nan,nan,nan,nan,nan,nan
33,77098-,3468884400,nan,nan,nan,nan,nan,nan,nan
34,78610-,7379996600,nan,nan,nan,nan,nan,nan,nan
35,75165-,9723909002,nan,nan,nan,nan,nan,nan,nan
36,75231-,2145061115,nan,nan,nan,nan,nan,nan,nan
37,78501-,9566031600,nan,nan,nan,nan,nan,nan,nan
38,77007-,2815012197,nan,nan,nan,nan,nan,nan,nan
39,78520-,9568823891,nan,nan,nan,nan,nan,nan,nan
40,22182-,7035327211,nan,nan,nan,nan,nan,nan,nan
41,22030-,7033785155,nan,nan,nan,nan,nan,nan,nan
42,98902-,5093677158,nan,nan,nan,nan,nan,nan,nan
43,98409-,2534780827,Atif Mian,"4.2.19 spoke to front desk staff and sent them a general email, said no lab manager since lab is not complete. Found Atif on LI and contact captured him into Copper",nan,nan,nan,nan,nan
44,53027-,4145204900,nan,nan,nan,nan,nan,nan,nan
