,ID,Type,License,Name,Address,City,State,Something,Phone,_merge
23,24D2107563,Hospital,Accreditation,Mayo Clinic Laboratories - Rochester Poc,200 1st Street Sw,Rochester,MN,55905,(507) 284-1697,right_only
24,24D0041428,Hospital,Accreditation,Lifecare Medical Center,715 Delmore Drive,Roseau,MN,56751-1534,(218) 463-2500,right_only
25,24D0398507,Hospital,Compliance,Essentia Health Sandstone,705 Lundorff Drive,Sandstone,MN,55072,(320) 245-5619,right_only
26,24D0400828,Hospital,Accreditation,St Francis Regional Medical Center,1455 St Francis Avenue,Shakopee,MN,55379,(952) 428-3000,right_only
27,24D0405305,Hospital,Compliance,Murray County Medical Center,2042 Juniper Avenue,Slayton,MN,56172,(507) 836-1286,right_only
28,24D0406224,Hospital,Compliance,Lakewood Health System,49725 County 83,Staples,MN,56479,(218) 894-8345,right_only
29,24D0398595,Hospital,Accreditation,Lakeview Memorial Hospital,927 West Churchill Street,Stillwater,MN,55082-6605,(651) 430-4633,right_only
30,24D0405317,Hospital,Compliance,Sanford Tracy Medical Center,251 5th St E,Tracy,MN,56175-1536,(507) 629-8360,right_only
31,24D0405325,Hospital,Compliance,Avera Tyler,240 Willow Street,Tyler,MN,56178,(507) 247-5521,right_only
32,24D0040912,Hospital,Accreditation,"Essentia Health Virginia, LLC",901 9th Street North,Virginia,MN,55792,(218) 749-9478,right_only
33,24D0404612,Hospital,Compliance,St Elizabeth's Medical Center,1200 Grant Blvd W,Wabasha,MN,55981,(651) 565-4531,right_only
34,24D0400865,Hospital,Accreditation,Ridgeview Medical Center Laboratory,500 South Maple Street,Waconia,MN,55387-1714,(952) 777-5371,right_only
35,24D0406241,Hospital,Accreditation,Tri County Hospital Laboratory,415 N Jefferson St,Wadena,MN,56482,(218) 631-3510,right_only
36,24D0863151,Hospital,Compliance,Warren Community Hospital,300 West Good Samaritan Drive,Warren,MN,56762,(218) 745-3227,right_only
37,24D0406738,Hospital,Accreditation,Lifecare Medical Center - Warroad Lab,412 North Main Street,Warroad,MN,56763,(218) 386-2020,right_only
38,24D0405158,Hospital,Accreditation,Mayo Clinic Health System Waseca,501 North State Street,Waseca,MN,56093,(507) 835-1210,right_only
39,24D0405335,Hospital,Accreditation,Sanford Westbrook Medical Center,920 Bell Ave,Westbrook,MN,56183-9514,(507) 274-6813,right_only
40,24D0405647,Hospital,Compliance,Sanford Wheaton Medical Center,401 12th Street North,Wheaton,MN,56296,(320) 563-1451,right_only
41,24D0405426,Hospital,Accreditation,"Carris Health, LLC",301 Becker Avenue Sw,Willmar,MN,56201,(320) 231-4500,right_only
42,24D0405202,Hospital,Compliance,Windom Area Health,2150 Hospital Drive,Windom,MN,56101,(507) 831-2400,right_only
43,24D0041006,Hospital,Accreditation,Winona Health Services,855 Mankato Ave,Winona,MN,55987-4868,(507) 457-4361,right_only
44,24D0970161,Hospital,Accreditation,Healtheast Woodwinds Hospital Lab,1925 Woodwinds Drive,Woodbury,MN,55125,(651) 232-6880,right_only
45,24D0405365,Hospital,Compliance,Sanford Worthington Medical Center,1018 6th Ave,Worthington,MN,56187,(507) 372-3160,right_only
