,CLIA,FACILITY_TYPE,CERTIFICATE_TYPE,LAB_NAME,STREET,CITY,STATE,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
69421,21D2137469,Independent,Registration,"Silbiotech, Inc",7858 Beechcreft Ave,Gaithersburg,MD,20879,(301) 787-1216,nan,nan,nan,nan,nan,nan,nan
69422,21D2156058,Independent,Registration,Pelican Medical Group LLC,10019 Reisterstown Rd Suite 203,Owings Mills,MD,21117,(410) 303-9923,nan,nan,nan,nan,nan,nan,nan
69423,21D2166268,Independent,Registration,Baltimore Diagnostics Solutions LLC,10019 Reisterstown Rd Suite 207,Owings Mills,MD,21117,(954) 348-3969,nan,nan,nan,nan,nan,nan,nan
69426,21D2158103,Independent,Registration,Phi Life Sciences,9430 Key West Ave #130,Rockville,MD,20850,(301) 358-3564,nan,nan,nan,nan,nan,nan,nan
69720,07D2169459,Independent,Registration,Laboratory Corporation Of America Holdings,"2 1/2 Dearfield Dr, 1st Flr",Greenwich,CT,6831,(203) 661-1585,nan,nan,nan,nan,nan,nan,nan
69724,07D2169861,Independent,Registration,Laboratory Corporation Of America Holdings,2284 Berlin Tpke,Newington,CT,6111,(959) 230-4590,nan,nan,nan,nan,nan,nan,nan
69725,07D2155413,Independent,Registration,"Enzo Clinical Labs, Inc","4 Corporate Dr, Ste 283",Shelton,CT,6484,(203) 513-8587,nan,nan,nan,nan,nan,nan,nan
69754,10D2154478,Independent,Compliance,Vivid Pathology Pa,1110 Gulf Breeze Pkwy,Gulf Breeze,FL,32561,(850) 416-7810,nan,nan,nan,nan,nan,nan,nan
69760,10D2154944,Independent,Accreditation,Total Renal Laboratories Inc,3000 Davita Way,Deland,FL,32724,(386) 626-5700,nan,nan,nan,nan,nan,nan,nan
69768,10D2157383,Independent,Accreditation,Sonoran Desert Pathology Associates,6061 Ne 14th Avenue Suite A,Fort Lauderdale,FL,33334,(954) 800-1000,nan,nan,nan,nan,nan,nan,nan
69778,10D1016867,Independent,Accreditation,Access Medical Laboratories Inc,5151 Corporate Way,Jupiter,FL,33458,(561) 745-1233,nan,nan,nan,nan,nan,nan,nan
69784,10D2154443,Independent,Compliance,Quest Diagnostics Clinical Laboratories,1301 Second Ave Sw,Largo,FL,33770,(727) 501-0542,nan,nan,nan,nan,nan,nan,nan
69789,10D2066797,Independent,Compliance,Igenomix Usa LLC,7955 Nw 12th St Ste 415,Miami,FL,33126,(305) 501-4948,nan,nan,nan,nan,nan,nan,nan
69796,10D2165099,Independent,Registration,Larkin Community Hospital Inc Dba Cardiotropic,1951 Nw 7 Ave Ste 3112,Miami,FL,33136,(305) 824-4762,nan,nan,nan,nan,nan,nan,nan
69797,10D2166300,Independent,Registration,Caledonia Derm-Path LLC,7091 Sw 47th Street Suite A-2,Miami,FL,33155,(305) 901-1340,nan,nan,nan,nan,nan,nan,nan
69798,10D2154464,Independent,Compliance,Vivid Pathology Pa,6002 Berryhill Rd,Milton,FL,32570,(850) 626-7762,nan,nan,nan,nan,nan,nan,nan
69810,10D2155737,Independent,Accreditation,Bayfront Health Er Pinellas Park,3070 Grand Avenue,Pinellas Park,FL,33781,(727) 893-6761,nan,nan,nan,nan,nan,nan,nan
69812,10D2154476,Independent,Compliance,Vivid Pathology Pa,1000 W Moreno St,Pensacola,FL,32501,(850) 434-4076,nan,nan,nan,nan,nan,nan,nan
69813,10D2154494,Independent,Compliance,Vivid Pathology Pa,8333 N Davis Hwy,Pensacola,FL,32514,(850) 474-8581,nan,nan,nan,nan,nan,nan,nan
69815,10D2158976,Independent,Accreditation,Sequential Genetics LLC,12105 28th St N Ste A,Saint Petersburg,FL,33716,(800) 462-3535,nan,nan,nan,nan,nan,nan,nan
69821,10D2166005,Independent,Registration,Clearview Scientific LLC,823 Se Osceola Street Suite 3,Stuart,FL,34994,(954) 649-2958,nan,nan,nan,nan,nan,nan,nan
69822,10D2169447,Independent,Registration,"Intelex Labs, LLC",7859 Sw Ellipse Way,Stuart,FL,34997,(724) 570-5852,nan,nan,nan,nan,nan,nan,nan
69827,10D2155412,Independent,Compliance,Associates & Affiliates In Dermatology LLC,5210 Webb Road Ste B,Tampa,FL,33615,(813) 882-9849,nan,nan,nan,nan,nan,nan,nan
69830,10D2157658,Independent,Compliance,Ruffolo Hooper & Associates MD Pa,13220 Usf Laurel Drive,Tampa,FL,33613,(813) 886-8334,nan,nan,nan,nan,nan,nan,nan
69834,10D2167244,Independent,Registration,Mid Florida Pathology LLC,10 Sw 7th St Unit A,Williston,FL,32696,(352) 460-0292,nan,nan,nan,nan,nan,nan,nan
69839,11D2166978,Independent,Registration,Pro-Genex Laboratories Incorporated,"999 Chestnut Street, Se, Suite #16",Gainesville,GA,30501,(844) 794-3637,nan,nan,nan,nan,nan,nan,nan
69843,13D2166132,Independent,Registration,Evergreen Dermatopathology LLC,421 East Lakeside Avenue #105,Coeur D'alene,ID,83814,(208) 277-9704,nan,nan,nan,nan,nan,nan,nan
69844,13D2156835,Independent,Accreditation,Pathologists' Regional Laboratory,2841 Juniper Dr Ste 1,Lewiston,ID,83501,(509) 758-5576,nan,nan,nan,nan,nan,nan,nan
69845,13D2168610,Independent,Registration,Quest Diagnostics-Nampa,215 E Hawaii Ave Ste B-100,Nampa,ID,83686,(208) 466-6484,nan,nan,nan,nan,nan,nan,nan
69852,15D2165133,Independent,Registration,Ameripath Indiana Decatur County,720 N Lincoln Street,Greensburg,IN,47240,(317) 275-8000,nan,nan,nan,nan,nan,nan,nan
69854,15D2167786,Independent,Registration,Mid America Clinical Laboratories,10388 Warrick Wellness Trail,Newburgh,IN,47630,(317) 450-9323,nan,nan,nan,nan,nan,nan,nan
69855,15D2155751,Independent,Registration,Ameripath Indiana/Major Hospital,2451 Intelliplex Drive,Shelbyville,IN,46176,(317) 275-8000,nan,nan,nan,nan,nan,nan,nan
69856,17D2154812,Independent,Accreditation,"Mawd Pathology Group, Pa",9705 Lenexa Dr,Lenexa,KS,66215,(816) 241-0861,nan,nan,nan,nan,nan,nan,nan
69860,18D2144017,Independent,Registration,New Age Vitality,625 Tech Drive,Winchester,KY,40391,(859) 739-3552,nan,nan,nan,nan,nan,nan,nan
69876,24D2117720,Independent,Registration,Martell Diagnostic Laboratories,2499 Rice Street Suite 90,Roseville,MN,55113,(651) 927-7971,nan,nan,nan,nan,nan,nan,nan
69879,26D2142660,Independent,Compliance,Laboratory Corporation Of America Holdings,120 Ne Saint Luke's Boulevard,Lees Summit,MO,64086,(816) 246-2197,nan,nan,nan,nan,nan,nan,nan
69881,27D2169570,Independent,Registration,"Community Solutions, Inc","207 N Broadway, Suite 110",Billings,MT,59101,(406) 896-4912,nan,nan,nan,nan,nan,nan,nan
69882,27D2168274,Independent,Registration,"Hematologics, Inc",3197 Stillwell Dr,Helena,MT,59602,(206) 223-2700,nan,nan,nan,nan,nan,nan,nan
69885,34D2156916,Independent,Registration,"Queen City Gastroenterology And Hepatology, Pc","320 Lillington Avenue, Suite 101",Charlotte,NC,28204,(704) 319-0396,nan,nan,nan,nan,nan,nan,nan
69887,34D2152945,Independent,Registration,Laboratory Corporation Of America Holdings,Labcorp At Triangle Community,Durham,NC,27704,(434) 774-7439,nan,nan,nan,nan,nan,nan,nan
69889,34D2160821,Independent,Registration,Accuracy First Diagnostics,"929 E Garrison Boulevard, Suite 4",Gastonia,NC,28054,(980) 689-1233,nan,nan,nan,nan,nan,nan,nan
69892,34D2155110,Independent,Compliance,"Baebies, Inc","615 Davis Drive, Suite 800",Morrisville,NC,27560,(919) 891-0432,nan,nan,nan,nan,nan,nan,nan
69893,34D2093492,Independent,Registration,Laboratory Corporation Of America Holdings,201 North Breazeale Avenue,Mount Olive,NC,28365,(843) 679-0687,nan,nan,nan,nan,nan,nan,nan
69894,34D2148132,Independent,Registration,"Mercy Diagnostics Inc, Wilson",2500 Horton Boulevard Sw,Wilson,NC,27893,(704) 992-0708,nan,nan,nan,nan,nan,nan,nan
69895,34D2157358,Independent,Registration,Laboratory Corporations Of America Holdings,2500 Horton Boulevard,Wilson,NC,27893,(843) 495-0269,nan,nan,nan,nan,nan,nan,nan
69910,39D2167057,Independent,Registration,Health Network Laboratories,700 East Norwegian St,Pottsville,PA,17901,(484) 425-8006,nan,nan,nan,nan,nan,nan,nan
69938,05D2169457,Independent,Registration,"Precision Pathology Medical Group, Inc.",4626 Willow Rd Ste 102,Pleasanton,CA,94588,(209) 577-1200,nan,nan,nan,nan,nan,nan,nan
69942,10D2170020,Independent,Registration,"Ameerah Labs, LLC",201 Sw 16th Street Suite 1,Okeechobee,FL,34974,(863) 623-4697,nan,nan,nan,nan,nan,nan,nan
69943,11D2156378,Independent,Microscopy,"Tri County Internal Medicine, Pc",4465 Nelson Brogdon Boulevard,Buford,GA,30518,(770) 945-1990,nan,nan,nan,nan,nan,nan,nan
69944,14D2170826,Independent,Registration,"Spa Dermatopathology, L L C",6055 S Garfield Ave,Burr Ridge,IL,60527,(312) 550-5005,nan,nan,nan,nan,nan,nan,nan
69946,15D2169362,Independent,Registration,Gateway Lab,"6189 John L Modglin Drive, Suite 102",Greenfield,IN,46140,(317) 866-7302,nan,nan,nan,nan,nan,nan,nan
69948,21D2170185,Independent,Registration,Mtm Diagnostics LLC,10019 Reisterstown Road Ste 210,Owings Mills,MD,21117,(410) 303-9923,nan,nan,nan,nan,nan,nan,nan
69950,23D2168833,Independent,Registration,Dermatology Associates Of Surgery Center,3135 S State Street Ste 350t,Ann Arbor,MI,48108,(304) 252-2673,nan,nan,nan,nan,nan,nan,nan
69953,24D1069269,Independent,Microscopy,Associates In Women's Health,825 Nicollet Mall Suite 735,Minneapolis,MN,55402,(952) 806-0011,nan,nan,nan,nan,nan,nan,nan
69955,25D2170354,Independent,Registration,Hometown Diagnostics LLC,Translational Research Ctr-3rd Floor Tr311,Jackson,MS,39216,(601) 815-2681,nan,nan,nan,nan,nan,nan,nan
69958,39D2156129,Independent,Microscopy,"Empower 3 Lab Services, LLC",108 College Park Plaza,Johnstown,PA,15904,(814) 297-9959,nan,nan,nan,nan,nan,nan,nan
69959,39D2158458,Independent,Microscopy,Temple University Episcopal Internal Medicine,100 E Lehigh Avenue,Philadelphia,PA,19125,(215) 707-1587,nan,nan,nan,nan,nan,nan,nan
69962,40D0658043,Independent,Registration,Lab Clinico Nocturno Caguas,Borgona 3 B5 3ra Sec Villa Del Rey,Caguas,PR,725,(787) 744-2000,nan,nan,nan,nan,nan,nan,nan
69963,40D0658214,Independent,Registration,Laboratorio Clinico Jelmap,Degetau 33,Juana Diaz,PR,795,(787) 837-3067,nan,nan,nan,nan,nan,nan,nan
69967,40D2154346,Independent,Compliance,Doctor's Reference Laboratory,"Apt 261, Dr Pedro Blanco Torre Medica Ii",Manati,PR,674,(787) 246-4698,nan,nan,nan,nan,nan,nan,nan
69968,40D2154981,Independent,Compliance,"Laboratorio Clinico Barrazas, Inc",Avenida Roberto Sanchez Vilella A2,Carolina,PR,983,(787) 776-1300,nan,nan,nan,nan,nan,nan,nan
69971,40D2157736,Independent,Registration,Laboratorio Clinico Inter Metro,Ave Las Cumbres Int Calle Santa Rosa #1,San Juan,PR,926,(787) 250-1912,nan,nan,nan,nan,nan,nan,nan
69972,40D2166532,Independent,Registration,Laboratorio Clinico Jollymar,"Carr 695, Km 2, Urb Doraville, Bloque 1",Dorado,PR,646,(787) 717-7113,nan,nan,nan,nan,nan,nan,nan
69973,40D2167281,Independent,Registration,"Medical Family Center, Corp","Carr Pr-173, Km6, Hm 5, Sector San Jose,",Cidra,PR,739,(787) 507-6705,nan,nan,nan,nan,nan,nan,nan
69974,40D2167585,Independent,Registration,Laboratoiro Trixymar Jardines De Arroyo,"Urb Jardines De Arroyo, Calle B E-8,",Arroyo,PR,714,(787) 318-6107,nan,nan,nan,nan,nan,nan,nan
69975,40D2169677,Independent,Registration,Mendez Laboratory Clinic,"Carr 447, Km 3, Hm 9, Sect Aibonito Guerrero,",San Sebastian,PR,685,(787) 280-8571,nan,nan,nan,nan,nan,nan,nan
69976,40D2170334,Independent,Registration,Laboratorio Clinico Yabory,"Carretera Numero 2, Km 138, Hm4, Bo Naranjo",Aguada,PR,602,(787) 366-2935,nan,nan,nan,nan,nan,nan,nan
69983,50D2171681,Independent,Compliance,Peacehealth United General Medical Center,200 Hospital Dr,Sedro Woolley,WA,98284,(360) 856-6021,nan,nan,nan,nan,nan,nan,nan
69984,50D2171686,Independent,Compliance,Jefferson Healthcare,834 Sheridan St,Port Townsend,WA,98368,(360) 385-2200,nan,nan,nan,nan,nan,nan,nan
69986,50D2171768,Independent,Compliance,Skagit Valley Hospital,300 Hospital Parkway,Mount Vernon,WA,98274,(360) 424-4111,nan,nan,nan,nan,nan,nan,nan
69987,50D2171773,Independent,Compliance,Cascade Valley Hospital,330 S Stillaguamish Ave,Arlington,WA,98223,(360) 435-2133,nan,nan,nan,nan,nan,nan,nan
69989,01D0712163,Physician Office,Microscopy,Alabama Women's Specialists Pc,2006 Brookwood Medical Center Drive Suite 310,Birmingham,AL,35209,(205) 877-2121,nan,nan,nan,nan,nan,nan,nan
69993,01D2121304,Physician Office,Compliance,Northwest Regional Cancer Care Center,171 Carraway Drive,Winfield,AL,35594,(205) 487-4405,nan,nan,nan,nan,nan,nan,nan
69994,01D2126498,Physician Office,Compliance,Medcenter Primary Care Pc,4960 Rice Mine Road Ne Suite 10,Tuscaloosa,AL,35406,(205) 333-9467,nan,nan,nan,nan,nan,nan,nan
69995,01D2136367,Physician Office,Registration,Med 360 Urgent Care,1700 Hwy 78 East,Jasper,AL,35501,(205) 487-4535,nan,nan,nan,nan,nan,nan,nan
69996,01D2156413,Physician Office,Microscopy,Usa Hca - University Urology,3290 Dauphin St Suite 301,Mobile,AL,36606,(251) 660-5930,nan,nan,nan,nan,nan,nan,nan
69997,01D2156734,Physician Office,Compliance,"Oncology Specialties, Pc",3500 Hwy 78 E,Jasper,AL,35501,(205) 282-8630,nan,nan,nan,nan,nan,nan,nan
70000,01D2156980,Physician Office,Microscopy,Renew Dermatology,"1651 Independence Court, Ste 121",Birmingham,AL,35209,(205) 287-6120,nan,nan,nan,nan,nan,nan,nan
70004,01D2160358,Physician Office,Registration,Fort Payne Care Plus LLC,3000 Gault Ave,Fort Payne,AL,35967,(256) 697-1012,nan,nan,nan,nan,nan,nan,nan
70009,01D2165760,Physician Office,Microscopy,"Haley Dermatology, A Forefront Dermatology Practic",200 Rock Creek Pkwy,Fairhope,AL,36532-3349,(251) 928-3844,nan,nan,nan,nan,nan,nan,nan
70014,01D2168967,Physician Office,Registration,Mmc Lab At United Doctors Altoona,7130 6th Avenue,Altoona,AL,35952,(256) 571-8139,nan,nan,nan,nan,nan,nan,nan
70022,02D1021693,Physician Office,Compliance,Dr David Barnes Internal Medicine,"3719 E Meridian Loop, Suite A",Wasilla,AK,99654,(907) 376-2868,nan,nan,nan,nan,nan,nan,nan
70024,02D2054618,Physician Office,Compliance,Health North Family Medicine LLC,"4050 Lake Otis Parkway, Suite 111",Anchorage,AK,99508,(907) 561-1195,nan,nan,nan,nan,nan,nan,nan
70025,02D2054623,Physician Office,Compliance,Health North Family Medicine LLC,"35911 Kenai Spur Hwy, Suite 6",Soldotna,AK,99669,(907) 260-7729,nan,nan,nan,nan,nan,nan,nan
70028,02D2167469,Physician Office,Microscopy,"Alaska Family Dermatology, LLC","3340 Providence Drive, Ste A358",Anchorage,AK,99508,(907) 268-2067,nan,nan,nan,nan,nan,nan,nan
70029,02D2174442,Physician Office,Registration,Capstone Clinic,10543 Kenai Spur Highway,Kenai,AK,99611,(907) 357-9590,nan,nan,nan,nan,nan,nan,nan
70030,03D0526515,Physician Office,Microscopy,David L Greenspan MD Pllc,600 W Thomas Rd,Phoenix,AZ,85013,(602) 234-1300,nan,nan,nan,nan,nan,nan,nan
70031,03D1015077,Hospital,Registration,Encompass Health Rehabilitation Hospital Of,1921 West Hospital Drive,Tucson,AZ,85704,(520) 742-2800,nan,nan,nan,nan,nan,nan,nan
70032,03D1059101,Physician Office,Registration,Cardiac Solutions - Sun City West,"14420 W Meeker Blvd, Suite A-305",Sun City West,AZ,85375,(623) 876-8816,nan,nan,nan,nan,nan,nan,nan
70033,03D1067244,Physician Office,Microscopy,Akdhc - Tucson Nw,7370 N La Cholla Blvd,Tucson,AZ,85741,(520) 547-2868,nan,nan,nan,nan,nan,nan,nan
70035,03D1090939,Physician Office,Microscopy,Southwest Kidney Institute,"9746 N 90th Place, Ste 205",Scottsdale,AZ,85258,(480) 610-6144,nan,nan,nan,nan,nan,nan,nan
70036,03D1100139,Physician Office,Microscopy,"Medi-First Medical Center, Pllc","727 E Bethany Home Rd, Suite A-101",Phoenix,AZ,85014,(480) 213-8765,nan,nan,nan,nan,nan,nan,nan
70038,03D2064662,Physician Office,Microscopy,Akdhc - Camelback,"5040 N 15th Ave, Ste 107",Phoenix,AZ,85015,(602) 200-9711,nan,nan,nan,nan,nan,nan,nan
70039,03D2081884,Physician Office,Microscopy,"Mesa Obstetricians And Gynecologists, Ltd","7233 E Baseline Rd, Ste 101",Mesa,AZ,85209,(480) 985-8151,nan,nan,nan,nan,nan,nan,nan
70041,03D2102735,Physician Office,Microscopy,Pkdhc - Thomas,2545 E Thomas Rd Ste 110,Phoenix,AZ,85016,(602) 903-1532,nan,nan,nan,nan,nan,nan,nan
70042,03D2103999,Physician Office,Registration,Cardiac Solutions - Talavi,"5651 W Talavi Blvd, Suite 160",Glendale,AZ,85306,(623) 876-8816,nan,nan,nan,nan,nan,nan,nan
70045,03D2141410,Physician Office,Microscopy,Amg Medical,6130 N La Cholla Blvd #117,Tucson,AZ,85741,(520) 207-7434,nan,nan,nan,nan,nan,nan,nan
70046,03D2143553,Physician Office,Microscopy,Genesis Ob/Gyn Sierra Vista,"174 S Coronado Dr, Ste A",Sierra Vista,AZ,85635,(520) 545-0589,nan,nan,nan,nan,nan,nan,nan
70048,03D2147621,Physician Office,Registration,"Pain Institute Of Southern Arizona (Pisa), Pc","4881 E Grant Rd, Ste 201",Tucson,AZ,85712,(520) 990-7004,nan,nan,nan,nan,nan,nan,nan
70049,03D2150377,Physician Office,Registration,Cardiac Solutions - Peoria,"13160 N 94th Drive, Suite J-1",Peoria,AZ,85381,(623) 876-8816,nan,nan,nan,nan,nan,nan,nan
70050,03D2152660,Physician Office,Microscopy,Pcmg Dermatology - Tucson,5983 E Grant Rd,Tucson,AZ,85712,(520) 207-2318,nan,nan,nan,nan,nan,nan,nan
70051,03D2154150,Physician Office,Microscopy,"Akdhc, LLC - Marana",3600 W Tangerine Rd Suite 110,Marana,AZ,85658,(520) 585-4634,nan,nan,nan,nan,nan,nan,nan
70052,03D2155756,Physician Office,Microscopy,Epiphany Dermatology,6648 E Carondelet Dr,Tucson,AZ,85710,(520) 886-8151,nan,nan,nan,nan,nan,nan,nan
70055,03D2157618,Physician Office,Microscopy,Banner - University Medical Group,8020 N Cortaro Rd Ste 150,Tucson,AZ,85743,(520) 694-1030,nan,nan,nan,nan,nan,nan,nan
70057,03D2157926,Physician Office,Microscopy,Banner - University Medical Group,"6860 E Sunrise Dr, Ste 100",Tucson,AZ,85750,(520) 694-1042,nan,nan,nan,nan,nan,nan,nan
70059,03D2159335,Hospital,Registration,"Florence Hospital, A Division Of Mountain Vista",4545 N Hunt Hwy,Florence,AZ,85132,(480) 358-6524,nan,nan,nan,nan,nan,nan,nan
