23D0374212,Physician Office,Microscopy,Women's Ob-Gyn Pc,5400 Mackinaw Road Suite 6100,Saginaw,MI,48604,(989) 792-3100
23D0374277,Physician Office,Microscopy,Cmu Medical Education Partners,5421 N  Colony Drive,Saginaw,MI,48638-7128,(989) 746-7500
23D0374288,Physician Office,Microscopy,Silverwood Family Medicine,3037 Silverwood Drive,Saginaw,MI,48603-3263,(989) 792-1895
23D0666082,Physician Office,Accreditation,"Andrology Laboratory (Ivf Michigan, Pc)",5400 Mackinaw  Suite 2400,Saginaw,MI,48604,(989) 792-8771
23D0681626,Physician Office,Microscopy,Cmu Medical Education Partners,1000 Houghton Avenue,Saginaw,MI,48602-5303,(989) 583-6800
23D0691918,Physician Office,Microscopy,Valley Urgent Care Pc,3020 Boardwalk,Saginaw,MI,48603-2324,(517) 791-3888
23D0692079,Physician Office,Microscopy,E George Galsterer Do,1236 N Michigan,Saginaw,MI,48602-4728,(517) 753-7739
23D0891054,Physician Office,Accreditation,Saginaw Valley Dermatology Pc,4705 Towne Centre Road Suite 301,Saginaw,MI,48604-2821,(989) 793-6505
23D0904458,Physician Office,Microscopy,Internal Medicine,"4705 Towne Centre, Suite 102",Saginaw,MI,48604,(517) 797-3145
23D0904463,Physician Office,Microscopy,Deborah L Russell MD Pllc,4177 Fashion Square Blvd Suite 1,Saginaw,MI,48603,(989) 791-9100
23D0912577,Physician Office,Microscopy,Valley Ob-Gyn Clinic Pc,926 N Michigan Avenue,Saginaw,MI,48602,(989) 753-8453
23D0913902,Physician Office,Microscopy,Cmu Medical Education Partners,1575 Concentric Blvd,Saginaw,MI,48604,(989) 583-6800
23D0916004,Physician Office,Microscopy,Beverly Jarema Do,5481 North Colony Drive,Saginaw,MI,48638,(517) 249-6779
23D0934663,Physician Office,Compliance,Children's Medical Group Of Saginaw Bay,3875 Bay Road Suite 1 S,Saginaw,MI,48603,(989) 793-9982
23D0949204,Physician Office,Microscopy,Tri-City Urology Pc,1117 S Washington,Saginaw,MI,48601,(989) 791-4020
23D0976207,Physician Office,Accreditation,Oncology Hematology Associates Of,5400 Mackinaw Road Suite 4200,Saginaw,MI,48604,(989) 791-2330
23D0987558,Physician Office,Microscopy,"Doris Cataquiz, MD","8680 Gratiot Road, Suite A",Saginaw,MI,48609,(989) 781-2520
23D0991024,Physician Office,Microscopy,Covenant- Phoenix Family Medicine,2429 Trautner Drive,Saginaw,MI,48604,(989) 790-3697
23D1014279,Physician Office,Microscopy,"Andrew M Lafleur, MD, Plc",3400 N Center Road Suite 100,Saginaw,MI,48603,(989) 792-1494
23D1024829,Physician Office,Microscopy,Great Lakes Family Health Center Pc,3424 Davenport Avenue,Saginaw,MI,48602,(989) 790-0100
23D2144363,Physician Office,Microscopy,Jill Pavelio MD Plc,5481 N Colony Drive,Saginaw,MI,48638,(989) 249-6779
23D21Z2472,Physician Office,Registration,Saginaw Valley Medical Center,3170 Halmark Court,Saginaw,MI,48603,(810) 523-8222
23D03X8508,Physician Office,Microscopy,Y A Singh MD,400 W Russell Street Suite 105,Saline,MI,48176-1183,(316) 429-7000
23D0682856,Physician Office,Microscopy,John G Ghuneim MD Pc,1235 Industrial Drive Suite 6,Saline,MI,48176,(734) 429-2581
23D0558293,Physician Office,Microscopy,Terry D Howell MD,401 N Ann Arbor St,Saline,MI,48176-1160,(734) 944-0322
23D0942689,Physician Office,Microscopy,Mckenzie Family Healthcare,109 Delaware Street,Sandusky,MI,48471,(810) 648-0080
23A1038209,Physician Office,Microscopy,Third Coast Family Practice,821 W Us 10,Scottville,MI,49454,(231) 757-2500
23X0878622,Physician Office,Microscopy,Sebewaing Primary Care,616 Unionville Road,Sebewaing,MI,48759,(989) 883-9088
23Y0868879,Physician Office,Microscopy,Shelbydale Medical Clinic Pc,49221 Van Dyke Road,Shelby Township,MI,48317-1336,(586) 254-4860
23Z0878888,Physician Office,Microscopy,Henry Ford Macomb Obstetrics And Gynecology,51221 Schoenherr Suite 201,Shelby Township,MI,48315,(810) 254-3545
2320930961,Physician Office,Microscopy,Partners In Family Medicine Pllc,6000 24 Mile Road,Shelby Township,MI,48316,(586) 677-3310
2340956897,Physician Office,Microscopy,Cornerstone Health Services Schoenherr,13350 24 Mile Road Suite 200,Shelby Township,MI,48315,(586) 566-7100
2360989160,Physician Office,Microscopy,"Edward Ruiz, MD, Pc",51850 Dequindre Suite 5,Shelby Township,MI,48316,(248) 651-1010
23D8004167,Physician Office,Microscopy,St Clair Specialty Physicians,45650 Schoenherr,Shelby Township,MI,48315,(586) 247-7800
23D1928878,Physician Office,Compliance,Academic Dermatology & Cosmetic Surgery Center,51189 Shelby Pkwy,Shelby Township,MI,48315,(586) 997-9700
23D1074340,Physician Office,Compliance,Pediatric Consultants Of Troy,50720 Schoenherr Road,Shelby Township,MI,48315,(586) 566-2340
2332377429,Physician Office,Compliance,Dermatology Specialists Of Shelby,"50505 Schoenherr Road, Ste 325",Shelby Township,MI,48315,(586) 580-1001
