02D0640325,Hospital,Accreditation,Alaska Native Med Center Clinical Lab,4315 Diplomacy Drive,Anchorage,AK,99508,(907) 729-1021
02D0640501,Hospital,Accreditation,Alaska Regional Hospital Lab,2801 Debarr Rd,Anchorage,AK,99508-2932,(907) 264-1171
02D0674836,Hospital,Accreditation,Providence Alaska Medical Ctr Lab,3200 Providence Drive,Anchorage,AK,99508-4615,(907) 261-3631
02D1031794,Hospital,Compliance,Alaska Regional Hospital Poc Testing,2801 Debarr Road,Anchorage,AK,99508,(907) 264-1121
02D0641844,Hospital,Accreditation,Samuel Simmonds Memorial Hospital Lab,7000 Uula St,Barrow,AK,99723,(907) 852-4611
02D0641823,Hospital,Accreditation,Yukon Kuskokwim Delta Reg Hospital,Chief Eddie Hoffman Highway,Bethel,AK,99559,(907) 543-6232
02D0641826,Hospital,Compliance,Cordova Community Medical Center,602 Chase Avenue,Cordova,AK,99574,(907) 424-8233
02D0668921,Hospital,Accreditation,Bristol Bay Area Health Corporation,6000 Kanakanak Road,Dillingham,AK,99576-0130,(907) 842-9229
02D0641210,Hospital,Accreditation,"Foundation Health, LLC",1650 Cowles St,Fairbanks,AK,99701-5925,(907) 458-5640
02D0663791,Hospital,Compliance,South Peninsula Hospital,4300 Bartlett St,Homer,AK,99603-7005,(907) 235-0337
02D0641354,Hospital,Accreditation,Bartlett Regional Hospital,3260 Hospital Dr,Juneau,AK,99801-7808,(907) 586-2611
02D0641454,Hospital,Accreditation,Peacehealth Ketchikan Medical Center,3100 Tongass Ave,Ketchikan,AK,99901-5746,(907) 225-5171
02D2026103,Hospital,Microscopy,Peacehealth Ketchikan Medical Center Obstetrics,3100 Tongass Ave,Ketchikan,AK,99901,(907) 228-7688
02D0640989,Hospital,Accreditation,Providence Kodiak Island,1915 E Rezanof Dr,Kodiak,AK,99615,(907) 486-9535
02D0641299,Hospital,Accreditation,Maniilaq Health Center,5th Grizzly Way,Kotzebue,AK,99752,(907) 442-3321
02D0641849,Hospital,Accreditation,Norton Sound Regional Hospital - Lab,1000 Greg Kruschek Avenue,Nome,AK,99762-0966,(907) 443-3311
02D0641026,Hospital,Accreditation,Mat-Su Regional Medical Center,2500 South Woodworth Loop,Palmer,AK,99645,(907) 861-6944
02D0641854,Hospital,Compliance,Petersburg Medical Center,103 Fram Street,Petersburg,AK,99833-0589,(907) 772-5700
02D0641048,Hospital,Compliance,Providence Seward Medical And Care Center,417 1st Ave,Seward,AK,99664,(907) 224-2806
02D0641414,Hospital,Accreditation,Mount Edgecumbe Hospital Searhc,222 Tongass Dr,Sitka,AK,99835-9416,(907) 966-8326
02D0641416,Hospital,Accreditation,Sitka Community Hospital,209 Moller Dr,Sitka,AK,99835-7142,(907) 747-3241
02D0066328,Hospital,Accreditation,Central Peninsula General Hospital,250 Hospital Place,Soldotna,AK,99669-7559,(907) 262-4404
02D0641837,Hospital,Compliance,Providence Valdez Medical Center,911 Meals Avenue,Valdez,AK,99686,(907) 834-1829
02D0690783,Hospital,Compliance,Searhc Wrangell Medical Center,310 Bennett Street,Wrangell,AK,99929,(907) 874-7000
01D0026356,Hospital,Accreditation,Shelby Baptist Medical Center,1000 First Street North,Alabaster,AL,35007,(205) 620-8905
01D0299887,Hospital,Accreditation,Russell Medical Center,3316 Hwy 280,Alexander City,AL,35010-0939,(256) 329-7131
01D0641733,Hospital,Accreditation,Andalusia Health,849 South Three Notch Street,Andalusia,AL,36420,(334) 428-7155
01D0304574,Hospital,Accreditation,Stringfellow Memorial Hospital,301 E 18th St,Anniston,AL,36207,(256) 235-8989
01D0641705,Hospital,Accreditation,Northeast Alabama Regional Medical Center,400 East 10th St,Anniston,AL,36207-4780,(256) 235-5176
01D0887487,Hospital,Accreditation,Nearmc Resp Therapy Blood Gas Lab,400 East Tenth Street,Anniston,AL,36207-4780,(256) 235-5796
01D1026326,Hospital,Accreditation,"Noland Hospital Anniston Ii, LLC",400 East 10th Street - 4th Floor,Anniston,AL,36207,(256) 741-6141
01D0304601,Hospital,Compliance,Clay County Hospital Laboratory,83825 Highway 9,Ashland,AL,36251,(256) 354-1168
01D0026902,Hospital,Accreditation,Athens Limestone Hospital,700 West Market Street,Athens,AL,35611-2457,(256) 233-9136
01D0683464,Hospital,Accreditation,Athens Limestone Hospital Respiratory,700 W Market St,Athens,AL,35611-2457,(256) 233-9273
01D0641741,Hospital,Accreditation,Atmore Community Hospital Laboratory,401 Medical Park Dr,Atmore,AL,36502-3006,(251) 368-2500
01D0302127,Hospital,Accreditation,Red Bay Hospital,211 Hospital Road,Red Bay,AL,35582,(256) 356-9532
01D0305187,Hospital,Compliance,North Baldwin Infirmary,1815 Hand Avenue,Bay Minette,AL,36507,(251) 580-1751
01D0299943,Hospital,Accreditation,Medical West Hospital Authority,995 Ninth Ave  S W,Bessemer,AL,35021,(205) 481-7114
01D0689445,Hospital,Accreditation,Health Care Authority For Medical West,995 9th Avenue Sw  Resp Care Dept  2nd Floor,Bessemer,AL,35022,(205) 481-7159
01D0026562,Hospital,Accreditation,Uab Highlands Laboratory,1201 11th Avenue South,Birmingham,AL,35205,(205) 930-7030
01D0026563,Hospital,Accreditation,St Vincent's Birmingham Resp Abg Lab,810 St Vincents Drive,Birmingham,AL,35205,(205) 930-2886
01D0301065,Hospital,Accreditation,Princeton Bmc Laboratory,701 Princeton Ave Sw,Birmingham,AL,35211-1303,(205) 783-3766
01D0301141,Hospital,Accreditation,Labfirst - Department Of Pathology,3690 Grandview Parkway,Birmingham,AL,35243,(205) 599-4581
01D0301578,Hospital,Accreditation,St Vincent's East Laboratory,50 Medical Park East Dr,Birmingham,AL,35235,(205) 838-3153
01D0641519,Hospital,Accreditation,Children's Hospital Of Alabama,1600 7th Avenue South,Birmingham,AL,35233,(205) 638-6842
01D0641520,Hospital,Accreditation,Histocompatability And Immunogenetics Lab,619 19th Street South  P290 West Pavilion,Birmingham,AL,35249-6819,(205) 934-4987
01D0641531,Hospital,Accreditation,Encompass Health Lakeshore Rehabilitation Hospital,3800 Ridgeway Drive,Birmingham,AL,35209,(205) 868-2000
01D0641554,Hospital,Accreditation,Diagnostic Mycoplasma Laboratory,1825 University Blvd Shel 476,Birmingham,AL,35226,(205) 934-9142
01D0665066,Hospital,Accreditation,Callahan Eye Hospital Laboratory,1720 University Boulevard,Birmingham,AL,35233-1816,(205) 325-8537
01D0665888,Hospital,Accreditation,St Vincent's Birmingham Laboratory,810 St Vincents Drive,Birmingham,AL,35205,(205) 930-2886
01D0678593,Hospital,Accreditation,Uab University Of Alabama Hospital Lab,619 19th Street South  Sw S257,Birmingham,AL,35249,(205) 934-3769
01D0687851,Hospital,Accreditation,Uab Rnicu Blood Gas Laboratory,619 South 19th St S  Jt N,Birmingham,AL,35249,(205) 934-6440
01D0690065,Hospital,Accreditation,University Hospital Anesthesia Lab,619 South 19th Street,Birmingham,AL,35233-1924,(205) 934-4696
01D0706597,Hospital,Accreditation,Respiratory Therapy Lab/Tcha,1600 7th Avenue South,Birmingham,AL,35233,(205) 939-9675
01D0707898,Hospital,Accreditation,Brookwood Baptist Health Bmc LLC,2010 Brookwood Medical Center Dr,Birmingham,AL,35209,(205) 877-1460
01D0927092,Hospital,Microscopy,Uab Hospital Ppm,619 19th Street South,Birmingham,AL,35233,(205) 934-3769
01D0960826,Hospital,Accreditation,Children's Hospital Of Alabama South,1940 Elmer J Bissell Road,Birmingham,AL,35243,(205) 638-4742
01D0987700,Hospital,Accreditation,Birmingham Vamc,700 South 19th St 3rd Fl 3d 108,Birmingham,AL,35233,(205) 558-4739
01D1009847,Hospital,Accreditation,"Noland Hospital Birmingham Ii, LLC",50 Medical Park East Dr 8th Floor,Birmingham,AL,35235,(205) 838-5127
01D0303624,Hospital,Accreditation,Marshall Medical Center South Lab,2505 Us Highway 431 North,Boaz,AL,35957,(256) 571-8139
01D0305079,Hospital,Accreditation,D W Mcmillan Memorial Hospital,1301 Belleville Ave,Brewton,AL,36426-1306,(251) 867-8061
01D2036695,Hospital,Compliance,Choctaw General Hospital,401 Vanity Fair Lane,Butler,AL,36904,(205) 459-9145
01D0306172,Hospital,Compliance,John Paul Jones Hospital,317 Mcwilliams Avenue,Camden,AL,36726-1610,(334) 682-4131
01D0301888,Hospital,Accreditation,Pickens County Medical Center,241 Robert K Wilson Drive,Carrollton,AL,35447,(205) 367-2421
01D0303647,Hospital,Accreditation,Floyd Cherokee Medical Center,400 Northwood Drive,Centre,AL,35960-1023,(706) 509-5836
01D0300027,Hospital,Compliance,Bibb Medical Center,208 Pierson Avenue,Centreville,AL,35042,(205) 926-3238
01D0305199,Hospital,Compliance,Washington County Hospital,14600 St Stephens Avenue,Chatom,AL,36518,(251) 847-2223
01D0026498,Hospital,Accreditation,St Vincent's St Clair Hospital Laboratory,7063 Veterans Hwy,Pell City,AL,35125,(205) 814-2442
01D1054322,Hospital,Accreditation,Jack Hughston Memorial Hospital Lab,4401 River Chase Drive,Phenix City,AL,36867,(334) 732-3277
01D2117469,Hospital,Accreditation,St Vincent's Chilton,2030 Lay Dam Road,Clanton,AL,35045,(205) 838-3152
01D0300143,Hospital,Accreditation,Cullman Regional Medical Center,1912 Alabama Highway 157,Cullman,AL,35056-1108,(256) 737-2157
01D0641802,Hospital,Compliance,Lake Martin Community Hospital,201 Mariarden Road,Dadeville,AL,36853,(256) 825-3235
01D0302280,Hospital,Accreditation,Decatur Morgan Hospital Parkway Campus,1874 Beltline Rd Sw,Decatur,AL,35601-5514,(256) 350-2211
01D0302306,Hospital,Accreditation,Decatur Morgan Hospital - Decatur General Campus,1201 7th St Se,Decatur,AL,35601-3337,(256) 341-2297
01D0306184,Hospital,Compliance,Bryan Whitfield Memorial Hospital,105 Highway 80 East,Demopolis,AL,36732,(334) 287-2644
01D0641723,Hospital,Accreditation,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,36301,(334) 793-8045
01D0693588,Hospital,Accreditation,Flowers Hospital,4370 West Main Street,Dothan,AL,36305,(334) 793-5000
01D0901791,Hospital,Accreditation,Flowers Hospital Respiratory Care Department,4370 West Main Street,Dothan,AL,36305,(334) 793-5000
01D1022980,Hospital,Accreditation,"Noland Hospital Dothan Ii, LLC",1108 Ross Clark Circle   4th Floor,Dothan,AL,36301,(334) 669-4300
