45D2163314,Other,REG,Rj Meridian Care,"7181 Crestway Drive, ",San Antonio,TEXAS,78239-,2105993005,,,,,,,
45D2163620,Other,REG,"Er Addison, Llc Dba Er Near Me - Addison","15240 Dallas Parkway, ",Dallas,TEXAS,75248-,4695779720,,,,,,,
45D2163813,Other,REG,"Medco Er Plano, Llc","3960 Legacy Dr, ",Plano,TEXAS,75023-,4693924000,,,,,,,
45D2163160,Physician Office,REG,Epidermatology Greenbriar,"4104 Greenbriar Dr #305, ",Houston,TEXAS,77098-,3468884400,,,,,,,
45D2163349,Physician Office,PPM,Baylor Scott & White Clinic - Buda Medical Center,"5330 Overpass Road Suite 100, ",Buda,TEXAS,78610-,7379996600,,,,,,,
45D2163594,Physician Office,PPM,Dermatology & Skin Cancer Surgery Center,"141 Rvg Parkway Suite 100, ",Waxahachie,TEXAS,75165-,9723909002,,,,,,,
45D2163614,Physician Office,PPM,"Austin & Reddick Dermatology, Pllc","9301 N Central Expressway Suite 470, ",Dallas,TEXAS,75231-,2145061115,,,,,,,
45D2163662,Physician Office,REG,Fernando J Otero Md Pa,"3401 N 23rd, ",Mcallen,TEXAS,78501-,9566031600,,,,,,,
45D2163744,Physician Office,REG,Houston Women's Reproductive Services,"5225 Katy Fwy, Suite 370, ",Houston,TEXAS,77007-,2815012197,,,,,,,
45D2163523,School/student Health Service,PPM,Uviversity Of Texas Rio Grande Valley,"One West University Blvd Cortez Hall 237, ",Brownsville,TEXAS,78520-,9568823891,,,,,,,
49D2163278,Physician Office,REG,Masri-Fridling Dermatology Group,"8320 Old Courthouse Road #303, ",Vienna,VIRGINIA,22182-,7035327211,,,,,,,
49D2163627,Physician Office,REG,Allergy Partners Of Northern Virginia,"11212 Waples Mill Rd, Suite 100b, ",Fairfax,VIRGINIA,22030-,7033785155,,,,,,,
50D2163487,Other,PPM,Watershed Birth Center,"1510 W Yakima, ",Yakima,WASHINGTON,98902-,5093677158,,,,,,,
50D2163206,Physician Office,ACCRED,Sound Integrated Health Llc,"3640 S Cedar St Ste M, ",Tacoma,WASHINGTON,98409-,2534780827,Atif Mian,"4.2.19 spoke to front desk staff and sent them a general email, said no lab manager since lab is not complete. Found Atif on LI and contact captured him into Copper",,,,,
52D2163515,Physician Office,PPM,"Suzanne Gehl, Md","1023 W State St, ",Hartford,WISCONSIN,53027-,4145204900,,,,,,,
01D2869487,Physician Office,Compliance,Rich and Rondi lab,331 Parks Ave Suite B,Scottsboro,AL,35768,(256) 218-3022
01D#027938,Independent,Accreditation,Trump Holdings,315 West Hickory Street,Sylacauga,AL,35150,(256) 401-4160
01C2154450,Independent,Compliance,Surfboards R US,315 W Hickory Street,Sylacauga,AL,35150,(256) 239-7614
01A2159731,Independent,Compliance,By some medison,117 N Chalkville Road,Trussville,AL,35173,(205) 848-2273
01S0301038,Independent,Compliance,University of Essex Medical Center,850 Peter Bryce Blvd,Tuscaloosa,AL,35401,(205) 348-1222
52D2163824,Physician Office,REG,"Heart And Vascular Of Wisconsin, Sc","5045 W Grande Market Drive, ",Appleton,WISCONSIN,54913-,9204194407,,,,,,,
34D2163226,Independent,REG,Laboratory Corporation Of America Holdings,"864 Black Creek Road, ",Four Oaks,NORTH CAROLINA,27524-,9199633148,,,,,,,
34D2163230,Independent,REG,Laboratory Corporation Of America Holdings,"410 Canteberry Road, ",Smithfield,NORTH CAROLINA,27577-,9199345149,,,,,,,
34D2163231,Independent,REG,Laboratory Corporation Of American Holdings,"236 Butternut Lane, ",Clayton,NORTH CAROLINA,27520-,9193591011,,,,,,,
37D2163428,Independent,REG,"Neo Services, Llc","7020 S Utica Ave, ",Tulsa,OKLAHOMA,74136-,9188956657,Physician Group Lab- kyang@neo-laboratory.com,4.2.19 LVM,,,,PTLD,Recruiting
