CLIA,FACILITY_TYPE,CERTIFICATE_TYPE,LAB_NAME,STREET,CITY,STATE,ZIP,PHONE,Contact,Touch 1,Touch 2,Touch 3,Touch 4,Call Tag 1,Call Tag 2
33D2163782,Physician Office,REG,Michele C Pauporte Md Llc,"120 East 86th Street - Area 2, ",Manhattan,NEW YORK,10028-,2124271898,,,,,,,
33D2163821,Physician Office,REG,David Abayev Gynecology Pc,"104-20 Queens Blvd - Apt 1b, ",Forest Hills,NEW YORK,11375-,7188802212,,,,,,,
34D2163473,Other,PPM,Wake Forest University Baptist Health,"Deac Clinic Attention Nicole Allen, Wake Forest Som, 475 Vine Street",Winston-Salem,NORTH CAROLINA,27101-,3367163322,,,,,,,
36D2163335,Other,REG,"Csl Plasma, Inc","28301 Chardon Road, ",Willoughby Hills,OHIO,44092-,5619123048,,,,,,PTLD,
36D2163176,Physician Office,PPM,Blanchard Valley Obstetrics And,"1740 N Perry St, ",Ottawa,OHIO,45875-,4195237000,,,,,,,
36D2163729,Ancillary Test Site,REG,Nationwide Children's Hospital Mansfield,"536 S Trimble Road, ",Mansfield,OHIO,44906-,4195281351,,,,,,,
37D2163477,Hospital,REG,Integris Community Hospital - Okc West,"600 S Rockwell Ave, ",Oklahoma City,OKLAHOMA,73128-,4052106257,,,,,,,
37D2163413,Physician Office,REG,Family Medicine Center,"900 Ne 10 St, ",Oklahoma City,OKLAHOMA,73104-,4052715508,,,,,,,
37D2163351,Public Health Laboratory,REG,Oklahoma City-County Health Department,"4330 Nw 10th St, ",Oklahoma City,OKLAHOMA,73107-,4054254379,,,,,,,
37D2163352,Public Health Laboratory,REG,Oklahoma City-Coutny Health Department,"6728 S Hudson Ave, ",Oklahoma City,OKLAHOMA,73139-,4054254379,,,,,,,
38D2163363,Community Clinic,ACCRED,Grants Pass Cboc,"1877 Williams Hwy, ",Grants Pass,OREGON,97527-,5419515551,,,,,,,
39D2163448,Physician Office,PPM,Mhlc Ob/gyn At Lankenau Dh,"3001 Garrett Road #c, ",Drexel Hill,PENNSYLVANIA,19026-,6106427714,,,,,,,
39D2163463,Physician Office,REG,Main Line Fertility - Havertown,"2010 West Chester Pike, Suite 350, ",Havertown,PENNSYLVANIA,19083-,6108531112,,,,,,,
39D2163471,Physician Office,REG,Allegheny Hlth Network Cancer Institute - Beaver,"81 Wagner Road, ",Monaca,PENNSYLVANIA,15061-,4127703518,,,,,,,
